date,price
12/6/2020,2.6185
11/6/2020,2.602
10/6/2020,2.6565
9/6/2020,2.599
8/6/2020,2.5655
5/6/2020,2.5555
4/6/2020,2.4895
3/6/2020,2.4875
2/6/2020,2.491
1/6/2020,2.4705
29/5/2020,2.4265
28/5/2020,2.4135
27/5/2020,2.382
26/5/2020,2.4185
22/5/2020,2.409
21/5/2020,2.432
20/5/2020,2.4675
19/5/2020,2.418
18/5/2020,2.404
15/5/2020,2.3335
14/5/2020,2.363
13/5/2020,2.346
12/5/2020,2.359
11/5/2020,2.38
8/5/2020,2.4085
7/5/2020,2.3805
6/5/2020,2.347
5/5/2020,2.3325
4/5/2020,2.3125
1/5/2020,2.3185
30/4/2020,2.344
29/4/2020,2.3745
28/4/2020,2.3455
27/4/2020,2.345
24/4/2020,2.348
23/4/2020,2.318
22/4/2020,2.309
21/4/2020,2.2645
20/4/2020,2.337
17/4/2020,2.3535
16/4/2020,2.3055
15/4/2020,2.309
14/4/2020,2.3295
13/4/2020,2.3205
9/4/2020,2.2775
8/4/2020,2.26
7/4/2020,2.2725
6/4/2020,2.235
3/4/2020,2.21
2/4/2020,2.2185
1/4/2020,2.1745
31/3/2020,2.24
30/3/2020,2.1555
27/3/2020,2.197
26/3/2020,2.178
25/3/2020,2.204
24/3/2020,2.1975
23/3/2020,2.1005
20/3/2020,2.1905
19/3/2020,2.1855
18/3/2020,2.151
17/3/2020,2.3155
16/3/2020,2.3925
13/3/2020,2.464
12/3/2020,2.4725
11/3/2020,2.502
10/3/2020,2.534
9/3/2020,2.5105
6/3/2020,2.5605
5/3/2020,2.5825
4/3/2020,2.586
3/3/2020,2.5795
2/3/2020,2.601
28/2/2020,2.546
27/2/2020,2.5715
26/2/2020,2.5735
25/2/2020,2.582
24/2/2020,2.5835
21/2/2020,2.618
20/2/2020,2.596
19/2/2020,2.614
18/2/2020,2.61
14/2/2020,2.6055
13/2/2020,2.613
12/2/2020,2.6
11/2/2020,2.5885
10/2/2020,2.5505
7/2/2020,2.559
6/2/2020,2.593
5/2/2020,2.5745
4/2/2020,2.542
3/2/2020,2.507
31/1/2020,2.52
30/1/2020,2.524
29/1/2020,2.554
28/1/2020,2.5795
27/1/2020,2.5965
24/1/2020,2.6855
23/1/2020,2.726
22/1/2020,2.765
21/1/2020,2.7985
17/1/2020,2.8495
16/1/2020,2.847
15/1/2020,2.866
14/1/2020,2.8735
13/1/2020,2.861
10/1/2020,2.8185
9/1/2020,2.802
8/1/2020,2.812
7/1/2020,2.7935
6/1/2020,2.79
3/1/2020,2.7985
2/1/2020,2.825
31/12/2019,2.794
30/12/2019,2.8335
27/12/2019,2.8295
26/12/2019,2.849
24/12/2019,2.8385
23/12/2019,2.8085
20/12/2019,2.811
19/12/2019,2.8315
18/12/2019,2.8125
17/12/2019,2.8135
16/12/2019,2.8115
13/12/2019,2.7805
12/12/2019,2.7965
11/12/2019,2.7895
10/12/2019,2.7555
9/12/2019,2.7585
6/12/2019,2.711
5/12/2019,2.663
4/12/2019,2.659
3/12/2019,2.608
2/12/2019,2.6505
29/11/2019,2.6615
27/11/2019,2.6745
26/11/2019,2.6975
25/11/2019,2.662
22/11/2019,2.659
21/11/2019,2.636
20/11/2019,2.6465
19/11/2019,2.6535
18/11/2019,2.634
15/11/2019,2.635
14/11/2019,2.635
13/11/2019,2.6395
12/11/2019,2.642
11/11/2019,2.664
8/11/2019,2.678
7/11/2019,2.724
6/11/2019,2.665
5/11/2019,2.7005
4/11/2019,2.671
1/11/2019,2.651
31/10/2019,2.638
30/10/2019,2.6805
29/10/2019,2.6915
28/10/2019,2.683
25/10/2019,2.6665
24/10/2019,2.668
23/10/2019,2.6715
22/10/2019,2.633
21/10/2019,2.6465
18/10/2019,2.625
17/10/2019,2.5975
16/10/2019,2.5895
15/10/2019,2.614
14/10/2019,2.634
11/10/2019,2.628
10/10/2019,2.6135
9/10/2019,2.568
8/10/2019,2.5635
7/10/2019,2.577
4/10/2019,2.5555
3/10/2019,2.5535
2/10/2019,2.5615
1/10/2019,2.5605
30/9/2019,2.5785
27/9/2019,2.5975
26/9/2019,2.5775
25/9/2019,2.612
24/9/2019,2.5895
23/9/2019,2.6115
20/9/2019,2.59
19/9/2019,2.6085
18/9/2019,2.613
17/9/2019,2.627
16/9/2019,2.621
13/9/2019,2.681
12/9/2019,2.6405
11/9/2019,2.6145
10/9/2019,2.628
